Symbol,Description,Entrez ID,Chromosome,logFC,AveExpr,P,P (adj.)
WDPCP,WD repeat containing planar cell polarity effector,51057,2,-0.01836,3.81,0.7347,0.9225
CYB5R1,cytochrome b5 reductase 1,51706,1,-0.06714,4.393,0.6151,0.8731
ND1,"NADH dehydrogenase, subunit 1 (complex I)",4535,MT,0.03624,3.604,0.7958,0.9409
ZNF124,zinc finger protein 124,7678,1,0.05597,4.662,0.5779,0.8614
SLC35F6,solute carrier family 35 member F6,54978,2,-0.02023,3.639,0.7833,0.9377
PDSS2,"prenyl (decaprenyl) diphosphate synthase, subunit 2",57107,6,0.02493,3.628,0.7899,0.9386
EPOR,erythropoietin receptor,2057,19,0.0007241,3.34,0.9956,0.9989
PIK3C2B,phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 beta,5287,1,0.1106,6.681,0.4239,0.8274
TNFRSF21,tumor necrosis factor receptor superfamily member 21,27242,6,0.1476,7.562,0.3823,0.7976
ADAM12,ADAM metallopeptidase domain 12,8038,10,-0.162,5.64,0.4856,0.8529
ORC5,origin recognition complex subunit 5,5001,7,0.02793,4.175,0.6505,0.8885
RPP14,ribonuclease P/MRP 14kDa subunit,11102,3,-0.01351,3.616,0.7952,0.9407
CCND3,cyclin D3,896,6,-0.02905,3.746,0.7608,0.931
UBE2L3,ubiquitin conjugating enzyme E2L 3,7332,22,0.02396,3.787,0.7414,0.9244
NA,NA,NA,NA,0.011,3.469,0.8713,0.9606
FASTKD5,FAST kinase domains 5,60493,20,0.03265,4.604,0.5858,0.8647
FAM168B,family with sequence similarity 168 member B,130074,2,0.009195,3.519,0.8479,0.9545
AP2M1,adaptor related protein complex 2 mu 1 subunit,1173,3,0.05188,7.623,0.3806,0.7963
MMP15,matrix metallopeptidase 15,4324,16,-0.01096,3.416,0.9358,0.9815
PKHD1,polycystic kidney and hepatic disease 1 (autosomal recessive),5314,6,-0.2188,4.781,0.5656,0.856
BCAR3,breast cancer anti-estrogen resistance 3,8412,1,-0.07247,4.819,0.5635,0.8548
NR4A2,nuclear receptor subfamily 4 group A member 2,4929,2,-0.1248,4.884,0.5556,0.8529
EIF2S1,eukaryotic translation initiation factor 2 subunit alpha,1965,14,0.04454,5.922,0.4676,0.849
SBDSP1,Shwachman-Bodian-Diamond syndrome pseudogene 1,155370,7,-0.003991,3.377,0.9527,0.9866
MXD1,MAX dimerization protein 1,4084,2,0.02334,3.52,0.8549,0.9562
MTG2,mitochondrial ribosome-associated GTPase 2,26164,20,0.02654,4.053,0.6788,0.9008
NPIPA5,nuclear pore complex interacting protein family member A5,100288332,16,0.09612,4.177,0.6607,0.8929
PRSS22,"protease, serine 22",64063,16,0.005568,3.445,0.9775,0.9933
SLC7A7,solute carrier family 7 member 7,9056,14,0.09281,4.44,0.6075,0.8696
SNX11,sorting nexin 11,29916,17,0.002813,3.418,0.9578,0.988
QRICH1,glutamine rich 1,54870,3,0.04084,5.814,0.4768,0.8529
GATAD1,GATA zinc finger domain containing 1,57798,7,0.03078,4.314,0.634,0.8815
UFM1,ubiquitin-fold modifier 1,51569,13,0.01279,3.534,0.841,0.9526
DESI2,desumoylating isopeptidase 2,51029,1,-0.01603,3.569,0.8289,0.9492
IFT80,intraflagellar transport 80,57560,3,0.04556,6.511,0.4352,0.833
TTC28,tetratricopeptide repeat domain 28,23331,22,-0.06992,5.452,0.5048,0.8529
CRK,v-crk avian sarcoma virus CT10 oncogene homolog,1398,17,-0.01622,3.727,0.7709,0.9344
ZNF773,zinc finger protein 773,374928,19,-0.01603,3.525,0.8555,0.9563
SELL,selectin L,6402,1,0.08504,3.952,0.7115,0.9147
ANPEP,"alanyl aminopeptidase, membrane",290,15,-0.09443,4.237,0.6489,0.8878
ALG8,"ALG8, alpha-1,3-glucosyltransferase",79053,11,0.05129,6.013,0.4642,0.8468
TMEM117,transmembrane protein 117,84216,12,0.04943,4.235,0.6505,0.8885
SMCR8,"Smith-Magenis syndrome chromosome region, candidate 8",140775,17,0.03573,5.44,0.5061,0.8529
LANCL2,LanC like 2,55915,7,-0.004009,3.417,0.9646,0.9894
ZNF552,zinc finger protein 552,79818,19,0.09283,4.853,0.5631,0.8546
CMTR2,cap methyltransferase 2,55783,16,-0.03187,4.232,0.6501,0.8885
FEM1A,fem-1 homolog a (C. elegans),55527,19,0.04157,5.299,0.5178,0.8529
SLC26A11,solute carrier family 26 member 11,284129,17,0.01474,3.538,0.8544,0.9561
OLA1,Obg-like ATPase 1,29789,2,-0.04412,5.558,0.4955,0.8529
CTSS,cathepsin S,1520,1,0.09757,6.644,0.4296,0.8312
DNAJC15,DnaJ heat shock protein family (Hsp40) member C15,29103,13,-0.08208,4.737,0.5756,0.8604
WDR45,WD repeat domain 45,11152,X,-0.02693,4.634,0.5895,0.867
TRMT112,tRNA methyltransferase 11-2 homolog (S. cerevisiae),51504,11,-0.02797,4.168,0.6604,0.8928
MKRN1,makorin ring finger protein 1,23608,7,0.04574,7.312,0.3967,0.8074
ARHGAP10,Rho GTPase activating protein 10,79658,4,0.07524,6.286,0.4493,0.8391
RGS1,regulator of G-protein signaling 1,5996,1,-0.1449,4.534,0.6062,0.8688
BZW1,basic leucine zipper and W2 domains 1,9689,2,-0.04674,5.244,0.5231,0.8529
DEF8,differentially expressed in FDCP 8 homolog (mouse),54849,16,-0.01104,3.51,0.8833,0.9645
SSH3,slingshot protein phosphatase 3,54961,11,-0.1109,5.277,0.5211,0.8529
RRP9,"ribosomal RNA processing 9, small subunit (SSU) processome component, homolog (yeast)",9136,3,-0.01401,3.547,0.8588,0.9575
HMOX1,heme oxygenase 1,3162,22,0.1242,5.298,0.5159,0.8529
NR3C2,nuclear receptor subfamily 3 group C member 2,4306,4,-0.03926,3.589,0.8418,0.9529
NDUFB10,NADH:ubiquinone oxidoreductase subunit B10,4716,16,0.0306,4.613,0.5928,0.8671
STX8,syntaxin 8,9482,17,0.03231,4.739,0.5762,0.8606
SEPSECS,Sep (O-phosphoserine) tRNA:Sec (selenocysteine) tRNA synthase,51091,4,0.02199,3.907,0.7247,0.9192
FAM214A,family with sequence similarity 214 member A,56204,15,-0.06606,6.242,0.4549,0.8426
ABHD13,abhydrolase domain containing 13,84945,13,-0.02791,3.972,0.7054,0.9128
ZNF345,zinc finger protein 345,25850,19,-0.02718,3.727,0.7818,0.9371
ANAPC1,anaphase promoting complex subunit 1,64682,2,0.04255,6.017,0.467,0.8489
RTKN,rhotekin,6242,2,-0.007241,3.425,0.9569,0.9875
ACTR3,ARP3 actin-related protein 3 homolog (yeast),10096,2,-0.05324,8.101,0.3661,0.7867
ZNF347,zinc finger protein 347,84671,19,-0.04758,4.515,0.6044,0.8682
ANOS1,anosmin 1,3730,X,0.02013,3.421,0.9172,0.9744
TULP4,tubby like protein 4,56995,6,-0.03836,5.891,0.477,0.8529
SMIM15,small integral membrane protein 15,643155,5,-0.02708,4.217,0.6553,0.8907
PHLDB3,pleckstrin homology like domain family B member 3,653583,19,0.01017,3.462,0.9413,0.9831
NCKIPSD,NCK interacting protein with SH3 domain,51517,3,0.0123,3.509,0.8791,0.9633
KRT15,keratin 15,3866,17,-0.1661,4.535,0.6034,0.8678
HDAC6,histone deacetylase 6,10013,X,0.03682,5.595,0.4981,0.8529
DENND2D,DENN domain containing 2D,79961,1,0.08267,5.446,0.5106,0.8529
KREMEN1,kringle containing transmembrane protein 1,83999,22,-0.08104,5.195,0.5314,0.8529
MARK3,microtubule affinity regulating kinase 3,4140,14,-0.04494,6.832,0.4222,0.8265
ND5,"NADH dehydrogenase, subunit 5 (complex I)",4540,MT,0.07818,5.121,0.5381,0.8529
RABGAP1,RAB GTPase activating protein 1,23637,9,0.05382,7.121,0.4081,0.8162
PCGF5,polycomb group ring finger 5,84333,10,0.04602,4.884,0.5625,0.854
POLR1E,polymerase (RNA) I subunit E,64425,9,0.03229,4.193,0.6601,0.8927
UROD,uroporphyrinogen decarboxylase,7389,1,-0.03432,5.456,0.5097,0.8529
COMMD1,copper metabolism domain containing 1,150684,2,0.03202,4.821,0.5714,0.8584
S100P,S100 calcium binding protein P,6286,4,0.2004,5.245,0.5295,0.8529
ADGRF1,adhesion G protein-coupled receptor F1,266977,6,0.148,4.086,0.6858,0.904
IFIT2,interferon induced protein with tetratricopeptide repeats 2,3433,10,0.06699,4.038,0.6872,0.9045
RANGAP1,Ran GTPase activating protein 1,5905,22,0.05118,5.406,0.5141,0.8529
ADSL,adenylosuccinate lyase,158,22,-0.04213,6.65,0.4327,0.8329
SLC35E1,solute carrier family 35 member E1,79939,19,0.02567,4.315,0.6427,0.8854
ALG11,"ALG11, alpha-1,2-mannosyltransferase",440138,13,0.03179,4.683,0.5865,0.8652
SPAG16,sperm associated antigen 16,79582,2,0.042,3.82,0.7626,0.9318
ATP5L,"ATP synthase, H+ transporting, mitochondrial Fo complex subunit G",10632,11,0.05203,6.931,0.4175,0.8226
AK1,adenylate kinase 1,203,9,-0.03374,3.82,0.7551,0.9295
CDK13,cyclin-dependent kinase 13,8621,7,0.04025,6.78,0.4264,0.8293
RBM18,RNA binding motif protein 18,92400,9,-0.01509,3.754,0.7777,0.9366
PLEKHG4,pleckstrin homology and RhoGEF domain containing G4,25894,16,-0.03508,3.582,0.8641,0.9591
TOPORS,"topoisomerase I binding, arginine/serine-rich, E3 ubiquitin protein ligase",10210,9,0.04736,6.676,0.4302,0.8317
CCNI,cyclin I,10983,4,-0.04934,7.832,0.3794,0.7952
UGT1A6,UDP glucuronosyltransferase family 1 member A6,54578,2,-0.167,4.492,0.6234,0.8768
TBC1D30,TBC1 domain family member 30,23329,12,0.06351,4.099,0.689,0.905
NAAA,N-acylethanolamine acid amidase,27163,4,0.02879,3.765,0.7775,0.9365
TMEM185B,transmembrane protein 185B,79134,2,-0.01691,3.745,0.7853,0.9377
TLR1,toll like receptor 1,7096,4,-0.07151,4.175,0.6711,0.8973
SCAPER,S-phase cyclin A-associated protein in the ER,49855,15,0.04336,6.163,0.4603,0.8449
TAMM41,TAM41 mitochondrial translocator assembly and maintenance homolog,132001,3,0.03531,4.244,0.658,0.892
BRMS1L,breast cancer metastasis-suppressor 1-like,84312,14,0.006677,3.494,0.9286,0.9793
MSMO1,methylsterol monooxygenase 1,6307,4,0.06778,5.118,0.5389,0.8529
TMEM132A,transmembrane protein 132A,54972,11,-0.02531,3.618,0.8507,0.9556
SNRNP70,small nuclear ribonucleoprotein U1 subunit 70,6625,19,-0.05592,7.298,0.4013,0.811
STAG1,stromal antigen 1,10274,3,0.04172,7.113,0.4105,0.8176
INPP5E,inositol polyphosphate-5-phosphatase E,56623,9,-0.02546,3.895,0.7343,0.9225
ATP11C,ATPase phospholipid transporting 11C,286410,X,0.05355,6.086,0.4685,0.8495
LRCH4,leucine-rich repeats and calponin homology (CH) domain containing 4,4034,7,0.03947,4.686,0.5918,0.8671
HIST1H2BG,"histone cluster 1, H2bg",8339,6,0.09536,5.126,0.5409,0.8529
DDAH1,dimethylarginine dimethylaminohydrolase 1,23576,1,-0.01188,3.51,0.9364,0.9817
CTNNAL1,catenin alpha-like 1,8727,9,-0.07214,4.495,0.6106,0.8706
ZNF852,zinc finger protein 852,285346,3,-0.02533,3.895,0.7397,0.9242
SNORA71B,"small nucleolar RNA, H/ACA box 71B",26776,20,0.07014,4.48,0.6205,0.8757
SEC22C,"SEC22 homolog C, vesicle trafficking protein",9117,3,0.01999,3.758,0.7845,0.9377
EPB41L3,erythrocyte membrane protein band 4.1-like 3,23136,18,0.09765,4.845,0.5702,0.8583
LMAN2,"lectin, mannose binding 2",10960,5,-0.05038,6.275,0.455,0.8426
GALC,galactosylceramidase,2581,14,0.05972,5.745,0.4936,0.8529
MFSD2A,major facilitator superfamily domain containing 2A,84879,1,-0.02804,3.634,0.8638,0.959
TRAPPC11,trafficking protein particle complex 11,60684,4,-0.03687,6.715,0.4317,0.8329
DDR2,discoidin domain receptor tyrosine kinase 2,4921,1,-0.1313,6.392,0.4491,0.8391
NPIPB4,nuclear pore complex interacting protein family member B4,440345,16,-0.02447,3.656,0.8412,0.9527
EML6,echinoderm microtubule associated protein like 6,400954,2,-0.008664,3.51,0.9563,0.9875
LRRC16A,leucine rich repeat containing 16A,55604,6,-0.07592,6.656,0.4343,0.8329
PHTF2,putative homeodomain transcription factor 2,57157,7,-0.04507,5.584,0.5042,0.8529
SGSM2,small G protein signaling modulator 2,9905,17,-0.06216,5.953,0.4781,0.8529
RNF130,ring finger protein 130,55819,5,-0.07689,5.625,0.5,0.8529
REPS1,RALBP1 associated Eps domain containing 1,85021,6,-0.04245,6.04,0.4712,0.8507
NADSYN1,NAD synthetase 1,55191,11,-0.08309,6.454,0.4466,0.8384
SMARCA5,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5",8467,4,0.04686,7.828,0.3807,0.7963
FCER1G,Fc fragment of IgE receptor Ig,2207,1,0.05694,3.842,0.7548,0.9294
ADARB1,"adenosine deaminase, RNA-specific, B1",104,21,-0.04466,3.944,0.738,0.9239
PDZD8,PDZ domain containing 8,118987,10,-0.04693,6.088,0.469,0.8498
ZUFSP,zinc finger with UFM1 specific peptidase domain,221302,6,0.009705,3.598,0.8682,0.9602
ACADS,"acyl-CoA dehydrogenase, C-2 to C-3 short chain",35,12,0.001314,3.485,0.9885,0.9966
ARFRP1,ADP ribosylation factor related protein 1,10139,20,0.03205,4.848,0.5754,0.8603
DHRS4,dehydrogenase/reductase (SDR family) member 4,10901,14,-0.03808,4.547,0.6153,0.8731
TOM1L2,target of myb1 like 2 membrane trafficking protein,146691,17,0.06102,5.255,0.5328,0.8529
NT5C3B,"5'-nucleotidase, cytosolic IIIB",115024,17,0.02319,3.757,0.787,0.9382
SAMSN1,"SAM domain, SH3 domain and nuclear localization signals 1",64092,21,-0.076,4.116,0.6917,0.907
TCN2,transcobalamin 2,6948,22,-0.06137,4.51,0.622,0.8764
PBX3,pre-B-cell leukemia homeobox 3,5090,9,-0.04262,4.113,0.6895,0.9055
RNASEK,ribonuclease K,440400,17,-0.01386,3.686,0.8231,0.9487
NEDD8,"neural precursor cell expressed, developmentally down-regulated 8",4738,14,0.04181,5.129,0.5456,0.8529
KIF3A,kinesin family member 3A,11127,5,0.03494,5.107,0.5486,0.8529
CD2,CD2 molecule,914,1,0.03417,3.601,0.88,0.9635
B4GALT2,"UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 2",8704,1,0.03382,4.153,0.6865,0.9042
NUDCD3,NudC domain containing 3,23386,7,0.02346,4.192,0.6796,0.9013
H19,"H19, imprinted maternally expressed transcript (non-protein coding)",283120,11,-0.03576,3.499,0.9252,0.9777
RPTOR,"regulatory associated protein of MTOR, complex 1",57521,17,0.03416,5.783,0.4921,0.8529
STEAP4,STEAP4 metalloreductase,79689,7,-0.02751,3.536,0.9056,0.9699
LIPG,"lipase G, endothelial type",9388,18,-0.1049,4.397,0.6378,0.8828
UBR5,ubiquitin protein ligase E3 component n-recognin 5,51366,8,0.06313,9.248,0.3323,0.7606
DENND4B,DENN domain containing 4B,9909,1,0.04029,5.549,0.5105,0.8529
UBE2G2,ubiquitin conjugating enzyme E2G 2,7327,21,0.016,3.94,0.7434,0.925
KLC4,kinesin light chain 4,89953,6,0.01881,3.782,0.7903,0.9386
EAPP,E2F associated phosphoprotein,55837,14,-0.02424,4.302,0.6601,0.8927
SELPLG,selectin P ligand,6404,12,-0.09226,4.644,0.6053,0.8684
RNF31,ring finger protein 31,55072,14,-0.03684,5.366,0.5264,0.8529
DYNC2LI1,dynein cytoplasmic 2 light intermediate chain 1,51626,2,-0.03429,4.52,0.6225,0.8767
ZDHHC4,zinc finger DHHC-type containing 4,55146,7,0.0378,4.65,0.6033,0.8678
TINAGL1,tubulointerstitial nephritis antigen like 1,64129,1,-0.145,6.517,0.4475,0.8387
C14orf169,chromosome 14 open reading frame 169,79697,14,0.0005769,3.517,0.9948,0.9988
ATXN3,ataxin 3,4287,14,-0.03246,5.277,0.536,0.8529
CDC14B,cell division cycle 14B,8555,9,-0.02939,4.021,0.7223,0.9185
DXO,decapping exoribonuclease,1797,6,0.0111,3.621,0.8712,0.9606
MAP3K13,mitogen-activated protein kinase kinase kinase 13,9175,3,0.03251,4.105,0.7022,0.9115
RPS4Y1,"ribosomal protein S4, Y-linked 1",6192,Y,0.3976,6.033,0.4805,0.8529
HIST1H2BB,"histone cluster 1, H2bb",3018,6,-0.02533,3.556,0.8864,0.9645
CASP9,caspase 9,842,1,0.002642,3.552,0.9681,0.9905
ZNF526,zinc finger protein 526,116115,19,0.0457,5.846,0.4891,0.8529
IGHMBP2,immunoglobulin mu binding protein 2,3508,11,-0.06123,5.562,0.5127,0.8529
ZNF175,zinc finger protein 175,7728,19,0.06298,4.151,0.7087,0.9137
CANT1,calcium activated nucleotidase 1,124583,17,0.04659,5.807,0.4943,0.8529
PTGR1,prostaglandin reductase 1,22949,9,-0.118,5.931,0.4839,0.8529
MIER2,MIER family member 2,54531,19,-0.003312,3.553,0.9635,0.9893
DHPS,deoxyhypusine synthase,1725,19,0.03946,4.897,0.5751,0.8603
STAG3L5P-PVRIG2P-PILRB,STAG3L5P-PVRIG2P-PILRB readthrough,101752399,7,0.03213,4.223,0.6721,0.8979
NAT9,N-acetyltransferase 9 (putative),26151,17,-0.02193,3.959,0.7398,0.9242
OCIAD2,OCIA domain containing 2,132299,4,0.06128,4.879,0.5798,0.8621
CCNYL1,cyclin Y like 1,151195,2,0.008072,3.558,0.932,0.9806
GPR87,G protein-coupled receptor 87,53836,3,-0.03728,3.642,0.8867,0.9645
PRKCZ,protein kinase C zeta,5590,1,0.04953,4.457,0.6332,0.8809
WDR19,WD repeat domain 19,57728,4,0.04671,5.334,0.5323,0.8529
FMNL1,formin like 1,752,17,-0.08934,4.908,0.5775,0.8609
FARP1,"FERM, ARH/RhoGEF and pleckstrin domain protein 1",10160,13,0.09407,7.186,0.4123,0.8185
HSD17B11,hydroxysteroid (17-beta) dehydrogenase 11,51170,4,0.08603,5.676,0.5059,0.8529
MECP2,methyl-CpG binding protein 2,4204,X,-0.03307,5.175,0.5485,0.8529
RPL6,ribosomal protein L6,6128,12,-0.02301,3.828,0.7863,0.9382
LRP6,LDL receptor related protein 6,4040,12,0.05944,7.21,0.413,0.8192
MADD,MAP kinase activating death domain,8567,11,0.05165,6.936,0.4268,0.8294
STAG3L4,stromal antigen 3-like 4 (pseudogene),64940,7,-0.01338,3.682,0.8405,0.9524
GGPS1,geranylgeranyl diphosphate synthase 1,9453,1,-0.01276,3.679,0.8509,0.9556
SUMF1,sulfatase modifying factor 1,285362,3,0.04611,5.083,0.5607,0.8537
MIEF1,mitochondrial elongation factor 1,54471,22,-0.02306,4.09,0.7112,0.9146
MNT,MAX network transcriptional repressor,4335,17,0.004529,3.568,0.9422,0.9834
APLF,aprataxin and PNKP like factor,200558,2,0.02445,3.775,0.8201,0.9479
DDX54,DEAD-box helicase 54,79039,12,0.04261,5.293,0.5378,0.8529
DMPK,dystrophia myotonica protein kinase,1760,19,-0.03906,4.335,0.6605,0.8928
CEP164,centrosomal protein 164kDa,22897,11,-0.03523,5.37,0.5316,0.8529
DOCK7,dedicator of cytokinesis 7,85440,1,-0.0505,7.033,0.4236,0.8272
VTI1A,vesicle transport through interaction with t-SNAREs 1A,143187,10,0.03727,5.315,0.5363,0.8529
MID1,midline 1,4281,X,0.1026,6.423,0.456,0.8429
NA,NA,NA,NA,-0.04579,3.56,0.9168,0.9744
CRCP,CGRP receptor component,27297,7,-0.009842,3.663,0.8668,0.96
KLF8,Kruppel-like factor 8,11279,X,-0.004769,3.561,0.9749,0.9923
PHF21A,PHD finger protein 21A,51317,11,-0.04476,5.863,0.4935,0.8529
SNORA50A,"small nucleolar RNA, H/ACA box 50A",677830,16,0.003447,3.579,0.9826,0.9949
DSC2,desmocollin 2,1824,18,-0.1941,6.837,0.4329,0.8329
KAT2A,lysine acetyltransferase 2A,2648,17,-0.04511,5.432,0.5279,0.8529
REV1,"REV1, DNA directed polymerase",51455,2,-0.03938,6.282,0.4657,0.8484
TAF9,TATA-box binding protein associated factor 9,6880,5,0.01965,3.843,0.7793,0.9369
SIMC1,SUMO interacting motifs containing 1,375484,5,-0.0229,3.63,0.8781,0.963
STK11,serine/threonine kinase 11,6794,19,-0.03779,5.096,0.5611,0.8537
PLEKHA3,pleckstrin homology domain containing A3,65977,2,0.005154,3.609,0.9295,0.9795
NBPF10,neuroblastoma breakpoint family member 10,100132406,1,-0.06312,5.721,0.5051,0.8529
ARHGAP27,Rho GTPase activating protein 27,201176,17,0.007014,3.614,0.9461,0.9842
FAM35A,family with sequence similarity 35 member A,54537,10,-0.03862,5.553,0.5178,0.8529
TCEA3,transcription elongation factor A3,6920,1,-0.01073,3.573,0.9455,0.9841
GTF3C6,general transcription factor IIIC subunit 6,112495,6,-0.02934,4.205,0.6933,0.9078
AGPAT1,1-acylglycerol-3-phosphate O-acyltransferase 1,10554,6,0.03761,4.869,0.5866,0.8652
SNX17,sorting nexin 17,9784,2,-0.03023,6.246,0.4695,0.8499
TMCO4,transmembrane and coiled-coil domains 4,255104,1,0.02831,3.962,0.7544,0.9292
SDC1,syndecan 1,6382,2,-0.1397,6.058,0.4826,0.8529
ERAP1,endoplasmic reticulum aminopeptidase 1,51752,5,-0.07195,7.769,0.3916,0.8043
CEACAM5,carcinoembryonic antigen related cell adhesion molecule 5,1048,19,-0.1791,3.954,0.7231,0.9188
GCH1,GTP cyclohydrolase 1,2643,14,-0.02568,3.863,0.79,0.9386
CRIP2,cysteine rich protein 2,1397,14,0.01307,3.642,0.9226,0.9761
GUSBP1,"glucuronidase, beta pseudogene 1",728411,5,0.05117,4.58,0.6235,0.8768
DIEXF,digestive organ expansion factor homolog (zebrafish),27042,1,0.04543,5.93,0.4911,0.8529
LAMP1,lysosomal associated membrane protein 1,3916,13,0.05817,7.041,0.4246,0.8278
ZCCHC9,zinc finger CCHC-type containing 9,84240,5,-0.01405,3.866,0.7859,0.9381
CTSK,cathepsin K,1513,1,-0.1489,6.39,0.4604,0.8449
GCC1,GRIP and coiled-coil domain containing 1,79571,7,-0.01553,3.889,0.7787,0.9369
SIRT5,sirtuin 5,23408,6,-7.74E-05,3.601,0.9991,1
TXNDC5,thioredoxin domain containing 5 (endoplasmic reticulum),81567,6,0.01806,3.731,0.8479,0.9545
GJB6,gap junction protein beta 6,10804,13,-0.19,4.663,0.6121,0.8714
RGS16,regulator of G-protein signaling 16,6004,1,0.04188,3.873,0.809,0.9454
FRA10AC1,"fragile site, folic acid type, rare, fra(10)(q23.3) or fra(10)(q24.2) candidate 1",118924,10,-0.01879,3.908,0.7742,0.9355
ZNF358,zinc finger protein 358,140467,19,-0.04594,4.785,0.5997,0.8671
ST3GAL3,"ST3 beta-galactoside alpha-2,3-sialyltransferase 3",6487,1,-0.03141,4.31,0.6775,0.9002
SEC23IP,SEC23 interacting protein,11196,10,-0.0361,6.492,0.4558,0.8428
FKBP5,FK506 binding protein 5,2289,6,-0.1268,5.403,0.5342,0.8529
MFSD14B,major facilitator superfamily domain containing 14B,84641,9,0.04551,5.837,0.4981,0.8529
YIPF4,Yip1 domain family member 4,84272,2,0.03402,4.946,0.5811,0.8626
AIP,aryl hydrocarbon receptor interacting protein,9049,11,0.03386,4.675,0.6151,0.8731
ZCRB1,zinc finger CCHC-type and RNA binding motif containing 1,85437,12,0.04851,5.493,0.5263,0.8529
GALNT2,polypeptide N-acetylgalactosaminyltransferase 2,2590,1,-0.05909,6.627,0.448,0.8387
BOD1,biorientation of chromosomes in cell division 1,91272,5,0.007067,3.637,0.913,0.9731
SDHD,succinate dehydrogenase complex subunit D,6392,11,-0.04081,4.714,0.6095,0.8702
ZNF777,zinc finger protein 777,27153,7,0.004872,3.624,0.9339,0.981
HOXA10,homeobox A10,3206,7,-0.09818,4.983,0.5757,0.8604
SSBP3,single stranded DNA binding protein 3,23648,1,-0.03451,4.549,0.6349,0.8818
PPP6R2,protein phosphatase 6 regulatory subunit 2,9701,22,-0.03908,5.735,0.5077,0.8529
CREB3,cAMP responsive element binding protein 3,10488,9,0.02545,4.325,0.6712,0.8973
CACUL1,CDK2 associated cullin domain 1,143384,10,0.03756,5.092,0.5659,0.856
FAM104A,family with sequence similarity 104 member A,84923,17,0.02592,4.39,0.6635,0.8937
PTTG1IP,pituitary tumor-transforming 1 interacting protein,754,21,-0.04232,5.24,0.5511,0.8529
ZNF836,zinc finger protein 836,162962,19,-0.04284,4.564,0.6305,0.8799
NCS1,neuronal calcium sensor 1,23413,9,-0.04097,4.113,0.7211,0.9182
NECAP2,NECAP endocytosis associated 2,55707,1,0.03386,4.933,0.584,0.864
HPS3,"HPS3, biogenesis of lysosomal organelles complex 2 subunit 1",84343,3,0.04075,5.878,0.4982,0.8529
TREX1,three prime repair exonuclease 1,11277,3,0.02354,3.858,0.7982,0.9412
ZNF808,zinc finger protein 808,388558,19,-0.05455,6.797,0.4392,0.8343
DTNB,dystrobrevin beta,1838,2,0.06314,5.057,0.5688,0.8579
BHLHE41,basic helix-loop-helix family member e41,79365,12,-0.1157,5.719,0.5111,0.8529
CSRNP2,cysteine and serine rich nuclear protein 2,81566,12,0.01343,3.746,0.852,0.9557
RRP7A,ribosomal RNA processing 7 homolog A,27341,22,0.001523,3.622,0.985,0.9956
STK38L,serine/threonine kinase 38 like,23012,12,-0.05617,5.905,0.495,0.8529
ZSCAN26,zinc finger and SCAN domain containing 26,7741,6,0.01981,3.907,0.7906,0.9386
HAT1,histone acetyltransferase 1,8520,2,0.03968,5.204,0.5544,0.8529
ZNF776,zinc finger protein 776,284309,19,0.04853,5.35,0.5409,0.8529
GCA,grancalcin,25801,2,0.01364,3.721,0.8683,0.9602
CNTROB,"centrobin, centrosomal BRCA2 interacting protein",116840,17,0.03982,5.22,0.5537,0.8529
TBL1X,transducin (beta)-like 1X-linked,6907,X,-0.0657,5.441,0.5352,0.8529
CD40,CD40 molecule,958,20,-0.06959,4.678,0.6197,0.8752
RPL9,ribosomal protein L9,6133,4,-0.01298,3.634,0.9517,0.9862
CTC1,CTS telomere maintenance complex component 1,80169,17,0.03834,4.619,0.6284,0.8792
CYHR1,cysteine/histidine-rich 1,50626,8,-0.01413,3.727,0.8643,0.9592
ITGB6,integrin subunit beta 6,3694,2,-0.1898,7.114,0.4273,0.8296
NLRC5,"NLR family, CARD domain containing 5",84166,16,0.1177,6.375,0.4664,0.8486
DUOX2,dual oxidase 2,50506,15,-0.1903,5.419,0.5448,0.8529
RELA,v-rel avian reticuloendotheliosis viral oncogene homolog A,5970,11,0.02348,4.972,0.5833,0.8636
TMEM98,transmembrane protein 98,26022,17,-0.01128,3.654,0.9396,0.9824
EVI2B,ecotropic viral integration site 2B,2124,17,-0.1092,4.909,0.591,0.8671
SNORA24,"small nucleolar RNA, H/ACA box 24",677809,4,-0.07731,4.881,0.5955,0.8671
ACRC,acidic repeat containing,93953,X,-0.03491,3.985,0.7584,0.9303
NEB,nebulin,4703,2,-0.1815,6.456,0.4596,0.8444
KIAA1551,KIAA1551,55196,12,-0.07205,6.977,0.4342,0.8329
CSK,c-src tyrosine kinase,1445,15,0.03664,4.79,0.6062,0.8688
PRMT7,protein arginine methyltransferase 7,54496,16,0.02508,4.258,0.6957,0.9087
TMEM175,transmembrane protein 175,84286,4,-0.01325,3.779,0.8622,0.9585
TRIM5,tripartite motif containing 5,85363,11,0.006064,3.653,0.9344,0.9811
SPG21,"spastic paraplegia 21 (autosomal recessive, Mast syndrome)",51324,15,0.0479,7.272,0.4186,0.8233
SFT2D1,SFT2 domain containing 1,113402,6,-0.01326,3.798,0.839,0.9521
PCBD1,pterin-4 alpha-carbinolamine dehydratase 1,5092,10,-0.06026,4.889,0.5916,0.8671
